linux	50	0.294663	1660202.972407	0	0	0	0	0	395304	2381416	5202664	11128336	15164904	21825912
linux	100	0.710765	1230650.857963	0	0	0	0	4344	1670960	1778448	1835712	2009624	2919168	3999168
linux	200	0.393411	615906.855324	0	0	0	0	0	0	1394728	1637160	1903648	2516640	23883200
linux	300	0.687389	410803.464815	0	0	0	0	403808	415992	454512	822200	982448	1674632	15833512
linux	400	0.696283	295888.582444	0	0	0	0	294656	300848	340464	480080	877888	1289144	28628424
linux	500	0.731393	238098.484624	0	0	0	0	179936	274184	278176	281384	956128	1282504	1674728
linux	600	0.765093	200048.419715	0	0	0	0	158336	233616	275032	278672	406352	820648	2452664
linux	700	0.502671	172084.182248	0	0	0	0	0	163944	274288	362952	744336	1134384	21934768
linux	800	0.333658	147752.699478	0	0	0	0	0	72984	267648	346152	829584	1438648	18104560
linux	900	0.478980	132205.155417	0	0	0	0	0	133616	230928	278696	535624	1062328	14076856
linux	1000	0.463347	119404.073038	0	0	0	0	0	113528	186160	270896	499856	730184	19932360
linux	2000	0.203979	59317.325369	0	0	0	0	0	0	95800	181360	451200	802072	15618600
