mtcp	1	0	128	0.70	0.70	0.70	174.02	182.15	200.05	230.91	331.59	431.24
mtcp	2	0	128	1.54	1.54	1.54	76.86	91.73	94.21	108.17	211.88	265.10
mtcp	4	0	512	3.02	3.02	3.02	120.63	157.01	169.53	214.55	-1	-1
mtcp	8	0	1024	5.97	5.97	5.97	122.28	157.80	170.98	302.09	-1	-1
mtcp	16	0	2048	8.74	8.74	8.74	179.37	275.41	298.49	427.26	-1	-1
