IX	1	0.0217	49	87
IX	2	0.041	49	83
IX	4	0.0826	49	85
IX	8	0.17	49	79
IX	16	0.343	48	76
IX	32	0.687	48	74
IX	64	1.435	47	74
IX	128	2.57	49	100
IX	256	2.65	88	135
IX	512	2.65	190	240
IX	1024	2.22	455	517
IX	2048	2.05	960	1097
